,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
morondava,mg,12/9/2017,12/9/2017 14:48,24,89,-20.28,44.28,81.25,5.75
sheridan,us,12/9/2017,12/9/2017 13:53,1,53,44.8,-106.96,44.6,3.36
saint-pierre,pm,12/9/2017,12/9/2017 14:00,0,100,46.77,-56.17,39.2,4.41
saldanha,za,12/9/2017,12/9/2017 14:00,0,38,-33.01,17.94,77,27.51
tiarei,pf,12/9/2017,12/9/2017 14:30,92,74,-17.53,-149.33,78.8,5.82
klaksvik,fo,12/9/2017,12/9/2017 14:20,80,100,62.23,-6.59,32,34.45
finschhafen,pg,12/9/2017,12/9/2017 14:48,56,94,-6.6,147.87,75.4,1.72
erdaojiang,cn,12/9/2017,12/9/2017 14:48,88,69,41.78,126.03,25.18,5.64
cairns,au,12/9/2017,12/9/2017 14:00,75,74,-16.92,145.77,78.8,8.05
igrim,ru,12/9/2017,12/9/2017 14:48,92,81,63.19,64.42,16.76,3.29
talcahuano,cl,12/9/2017,12/9/2017 14:00,0,63,-36.72,-73.12,64.4,9.17
paita,pe,12/9/2017,12/9/2017 14:00,0,69,-5.09,-81.11,75.2,17.22
rassvet,ru,12/9/2017,12/9/2017 14:48,32,85,46.83,40.75,40.66,9.78
half moon bay,us,12/9/2017,12/9/2017 14:35,1,100,37.46,-122.43,44.6,5.19
sao filipe,cv,12/9/2017,12/9/2017 14:48,68,88,14.9,-24.5,78.41,13.8
liverpool,ca,12/9/2017,12/9/2017 14:48,92,100,44.03,-64.72,40.07,5.08
denpasar,id,12/9/2017,12/9/2017 14:00,20,83,-8.65,115.22,82.4,3.36
necochea,ar,12/9/2017,12/9/2017 14:48,0,84,-38.55,-58.74,74.86,14.47
port elizabeth,za,12/9/2017,12/9/2017 14:00,90,68,-33.92,25.57,69.8,12.75
miyang,cn,12/9/2017,12/9/2017 14:48,32,84,24.4,103.44,40.66,2.28
butaritari,ki,12/9/2017,12/9/2017 14:48,12,100,3.07,172.79,82.73,7.76
vanderhoof,ca,12/9/2017,12/9/2017 14:48,64,73,54.02,-124.02,8.66,2.39
ati,td,12/9/2017,12/9/2017 14:48,0,19,13.22,18.34,91.28,4.63
cururupu,br,12/9/2017,12/9/2017 14:48,68,57,-1.83,-44.87,89.21,10.67
dera bugti,pk,12/9/2017,12/9/2017 14:48,0,63,29.03,69.15,47.5,1.72
enderby,ca,12/9/2017,12/9/2017 14:36,90,74,50.55,-119.15,28.4,4.7
altay,cn,12/9/2017,12/9/2017 14:48,12,52,47.87,88.12,-3.67,3.18
mackenzie,ca,12/9/2017,12/9/2017 14:00,90,100,55.3,-123.17,15.8,2.24
makakilo city,us,12/9/2017,12/9/2017 13:57,1,93,21.35,-158.09,69.8,3.36
banda aceh,id,12/9/2017,12/9/2017 14:48,68,100,5.56,95.32,73.82,2.51
husavik,is,12/9/2017,12/9/2017 14:00,75,85,66.04,-17.34,19.4,2.24
puerto escondido,mx,12/9/2017,12/9/2017 13:45,5,83,15.85,-97.07,71.6,11.41
vardo,no,12/9/2017,12/9/2017 14:48,92,100,70.37,31.11,29.45,23.42
lakes entrance,au,12/9/2017,12/9/2017 14:48,0,95,-37.88,147.98,59.06,3.62
deer lake,ca,12/9/2017,12/9/2017 14:00,90,69,49.17,-57.43,32,8.05
gopalpur,in,12/9/2017,12/9/2017 14:48,44,100,19.27,84.92,76.43,19.51
ornskoldsvik,se,12/9/2017,12/9/2017 14:20,92,100,63.29,18.72,33.8,5.82
sao desiderio,br,12/9/2017,12/9/2017 14:48,20,77,-12.36,-44.97,83.41,10.67
marsh harbour,bs,12/9/2017,12/9/2017 14:48,8,94,26.54,-77.06,79.94,21.85
kaputa,zm,12/9/2017,12/9/2017 14:48,76,77,-8.47,29.66,75.89,3.18
riyadh,sa,12/9/2017,12/9/2017 14:00,0,14,24.69,46.72,60.8,11.41
pacific grove,us,12/9/2017,12/9/2017 14:35,1,74,36.62,-121.92,51.8,5.64
sadiqabad,pk,12/9/2017,12/9/2017 14:48,0,43,28.31,70.13,54.25,2.95
contamana,pe,12/9/2017,12/9/2017 14:48,0,67,-7.33,-75.02,87.68,3.06
waycross,us,12/9/2017,12/9/2017 13:55,90,93,31.21,-82.35,44.6,8.05
pevek,ru,12/9/2017,12/9/2017 14:48,76,99,69.7,170.31,11,2.51
sisimiut,gl,12/9/2017,12/9/2017 14:48,32,97,66.94,-53.67,16.63,3.4
kruisfontein,za,12/9/2017,12/9/2017 14:48,36,80,-34,24.73,64.91,11.68
vila velha,br,12/9/2017,12/9/2017 14:00,20,74,-20.33,-40.29,80.6,13.87
longyearbyen,sj,12/9/2017,12/9/2017 13:50,40,68,78.22,15.64,24.8,20.8
luderitz,na,12/9/2017,12/9/2017 14:00,0,45,-26.65,15.16,82.4,25.28
la macarena,co,12/9/2017,12/9/2017 14:48,36,77,2.18,-73.78,82.06,1.61
dakar,sn,12/9/2017,12/9/2017 14:00,44,42,14.69,-17.44,80.6,11.41
lewisporte,ca,12/9/2017,12/9/2017 14:00,90,87,49.25,-55.05,32,11.41
plouzane,fr,12/9/2017,12/9/2017 14:30,90,93,48.38,-4.62,44.6,5.82
general pico,ar,12/9/2017,12/9/2017 14:48,0,43,-35.66,-63.76,83.05,13.02
rafaela,ar,12/9/2017,12/9/2017 14:45,0,69,-31.25,-61.49,87.14,6.2
tynda,ru,12/9/2017,12/9/2017 14:48,48,64,55.17,124.72,-15.46,7.2
tam ky,vn,12/9/2017,12/9/2017 14:00,75,94,15.57,108.48,68,1.12
salalah,om,12/9/2017,12/9/2017 13:50,0,27,17.02,54.09,78.8,18.34
empangeni,za,12/9/2017,12/9/2017 14:48,0,63,-28.76,31.89,81.47,10.67
clarence town,bs,12/9/2017,12/9/2017 14:48,48,96,23.1,-74.98,80.93,15.48
sola,vu,12/9/2017,12/9/2017 14:48,0,99,-13.88,167.55,81.43,4.41
lengshuitan,cn,12/9/2017,12/9/2017 14:48,8,75,26.41,111.6,39.76,2.62
puerto rico,co,12/9/2017,12/9/2017 14:48,20,84,1.91,-75.14,80.84,2.73
abha,sa,12/9/2017,12/9/2017 14:00,0,20,18.22,42.51,68,11.41
oktyabrskoye,ru,12/9/2017,12/9/2017 14:48,20,78,43.06,44.74,24.86,2.73
primero de enero,cu,12/9/2017,12/9/2017 13:51,75,78,21.95,-78.43,80.6,4.7
dong hoi,vn,12/9/2017,12/9/2017 14:48,48,100,17.48,106.6,69.01,5.97
ponta do sol,cv,12/9/2017,12/9/2017 14:48,32,100,17.2,-25.09,75.8,17.16
dillon,us,12/9/2017,12/9/2017 14:35,90,100,34.42,-79.37,37.4,5.82
alugan,ph,12/9/2017,12/9/2017 14:48,36,100,12.22,125.48,77.83,4.97
cidreira,br,12/9/2017,12/9/2017 14:48,0,77,-30.18,-50.21,79.45,7.43
miraflores,co,12/9/2017,12/9/2017 14:48,8,86,1.34,-71.95,80.75,2.95
upernavik,gl,12/9/2017,12/9/2017 14:48,92,87,72.79,-56.15,32.06,7.76
nova soure,br,12/9/2017,12/9/2017 14:48,92,39,-11.23,-38.48,92,9.66
gazanjyk,tm,12/9/2017,12/9/2017 14:48,44,94,39.24,55.52,35.93,3.18
kaniama,cd,12/9/2017,12/9/2017 14:48,92,87,-7.57,24.18,73.82,2.62
portland,au,12/9/2017,12/9/2017 14:48,100,100,-38.33,141.6,60.68,9.78
ancud,cl,12/9/2017,12/9/2017 14:48,92,87,-41.87,-73.82,55.96,7.54
the valley,ai,12/9/2017,12/9/2017 14:00,40,61,18.22,-63.06,82.4,14.99
lumut,my,12/9/2017,12/9/2017 14:00,75,88,4.23,100.63,77,2.24
hede,cn,12/9/2017,12/9/2017 14:48,64,65,33.77,120.25,33.77,9.33
along,in,12/9/2017,12/9/2017 14:48,0,82,28.17,94.77,54.92,1.72
san borja,bo,12/9/2017,12/9/2017 14:48,32,86,-14.82,-66.85,81.2,3.74
humaita,br,12/9/2017,12/9/2017 14:48,64,74,-7.51,-63.02,86.6,2.95
nemuro,jp,12/9/2017,12/9/2017 14:48,0,100,43.32,145.57,30.89,25.55
sevlievo,bg,12/9/2017,12/9/2017 14:30,36,79,43.03,25.11,55.4,12.75
beringovskiy,ru,12/9/2017,12/9/2017 14:48,80,100,63.05,179.32,22.75,8.77
shingu,jp,12/9/2017,12/9/2017 14:48,12,100,33.73,135.98,48.62,9.44
dehloran,ir,12/9/2017,12/9/2017 14:48,0,62,32.69,47.27,51.1,7.99
burgeo,ca,12/9/2017,12/9/2017 14:48,76,100,47.62,-57.62,38.27,6.87
bhandaria,bd,12/9/2017,12/9/2017 14:48,92,98,22.49,90.06,73.28,9.22
georgetown,gy,12/9/2017,12/9/2017 14:00,75,94,6.8,-58.16,78.8,9.17
broome,au,12/9/2017,12/9/2017 14:00,32,79,-17.97,122.23,86,11.41
villamartin,es,12/9/2017,12/9/2017 14:30,90,72,36.86,-5.64,64.4,6.93
matipo,br,12/9/2017,12/9/2017 14:48,24,94,-20.28,-42.34,77.78,4.63
high level,ca,12/9/2017,12/9/2017 14:00,20,92,58.52,-117.14,23,4.85
neiafu,to,12/9/2017,12/9/2017 14:00,20,94,-18.65,-173.98,68,7.54
grand gaube,mu,12/9/2017,12/9/2017 14:00,40,69,-20.01,57.66,80.6,11.41
port hedland,au,12/9/2017,12/9/2017 14:00,0,78,-20.32,118.57,82.4,11.41
quelimane,mz,12/9/2017,12/9/2017 14:00,40,58,-17.88,36.89,86,9.17
san cristobal,ec,12/9/2017,12/9/2017 14:00,20,78,-0.9,-89.62,73.4,9.17
yeppoon,au,12/9/2017,12/9/2017 14:00,44,88,-23.13,150.73,73.4,5.82
qaqortoq,gl,12/9/2017,12/9/2017 13:50,75,33,60.72,-46.03,46.4,28.86
hualmay,pe,12/9/2017,12/9/2017 14:48,24,76,-11.1,-77.61,68.69,4.29
yichun,cn,12/9/2017,12/9/2017 14:48,44,59,47.7,128.9,-13.12,3.06
kochki,ru,12/9/2017,12/9/2017 14:48,8,80,54.34,80.48,3.98,4.18
norman wells,ca,12/9/2017,12/9/2017 14:00,90,92,65.28,-126.83,19.4,3.36
presidente medici,br,12/9/2017,12/9/2017 14:48,56,80,-11.18,-61.9,85.34,4.52
san vicente,ph,12/9/2017,12/9/2017 14:00,90,78,15.3,120.65,80.6,4.7
berberati,cf,12/9/2017,12/9/2017 14:48,68,63,4.26,15.79,82.73,6.64
laguna,br,12/9/2017,12/9/2017 14:48,0,96,-28.48,-48.78,72.47,6.76
balkanabat,tm,12/9/2017,12/9/2017 14:48,0,88,39.51,54.37,30.08,2.17
danville,us,12/9/2017,12/9/2017 14:17,90,93,36.59,-79.4,33.8,5.82
jeremie,ht,12/9/2017,12/9/2017 14:48,56,91,18.65,-74.12,81.25,10.33
boyolangu,id,12/9/2017,12/9/2017 14:49,76,100,-8.12,111.89,79.13,7.43
chiredzi,zw,12/9/2017,12/9/2017 14:49,0,60,-21.05,31.67,81.56,4.41
sujiatun,cn,12/9/2017,12/9/2017 14:00,76,68,41.66,123.34,26.6,4.47
chuzhou,cn,12/9/2017,12/9/2017 14:49,12,88,32.32,118.3,32.87,9.1
chibuto,mz,12/9/2017,12/9/2017 14:49,0,50,-24.69,33.53,85.97,4.63
areosa,pt,12/9/2017,12/9/2017 14:30,75,93,41.72,-8.86,60.8,5.82
abu dhabi,ae,12/9/2017,12/9/2017 14:00,20,53,24.47,54.37,73.4,10.29
evensk,ru,12/9/2017,12/9/2017 14:49,12,100,61.95,159.23,-0.3,13.24
nelson bay,au,12/9/2017,12/9/2017 14:00,0,93,-32.72,152.15,59,6.42
waddan,ly,12/9/2017,12/9/2017 14:49,76,38,29.16,16.14,58.34,3.4
maningrida,au,12/9/2017,12/9/2017 14:49,12,72,-12.07,134.27,85.21,8.66
guerrero negro,mx,12/9/2017,12/9/2017 14:44,12,84,27.98,-114.06,50.65,1.83
sol-iletsk,ru,12/9/2017,12/9/2017 14:49,68,82,51.16,54.99,19.01,15.14
haines junction,ca,12/9/2017,12/9/2017 14:49,8,63,60.75,-137.51,8.75,2.17
tadine,nc,12/9/2017,12/9/2017 14:49,92,96,-21.55,167.88,77.51,10.45
carnarvon,au,12/9/2017,12/9/2017 14:49,20,100,-24.87,113.63,71.39,7.2
vancouver,ca,12/9/2017,12/9/2017 14:35,1,100,49.25,-123.12,33.8,3.18
morro bay,us,12/9/2017,12/9/2017 13:56,1,52,35.37,-120.85,41,2.62
camana,pe,12/9/2017,12/9/2017 14:49,20,98,-16.62,-72.71,65.54,7.87
monrovia,lr,12/9/2017,12/9/2017 14:30,75,62,6.3,-10.8,89.6,14.99
inuvik,ca,12/9/2017,12/9/2017 14:00,90,85,68.35,-133.72,12.2,4.7
snezhnogorsk,ru,12/9/2017,12/9/2017 14:00,75,79,69.19,33.25,19.4,8.95
savonlinna,fi,12/9/2017,12/9/2017 14:20,90,92,61.87,28.92,33.8,8.05
lorengau,pg,12/9/2017,12/9/2017 14:49,36,100,-2.02,147.27,82.82,3.18
port hardy,ca,12/9/2017,12/9/2017 14:00,75,65,50.7,-127.42,44.6,24.16
namatanai,pg,12/9/2017,12/9/2017 14:49,88,100,-3.67,152.43,80.66,9.44
tromso,no,12/9/2017,12/9/2017 14:20,0,79,69.65,18.96,26.6,5.82
bulgan,mn,12/9/2017,12/9/2017 14:49,64,69,48.81,103.53,4.21,2.73
bodden town,ky,12/9/2017,12/9/2017 14:00,90,100,19.28,-81.25,75.2,14.99
boksitogorsk,ru,12/9/2017,12/9/2017 14:49,92,93,59.47,33.85,33.73,5.64
la ronge,ca,12/9/2017,12/9/2017 14:00,20,92,55.1,-105.28,19.4,5.82
lithakia,gr,12/9/2017,12/9/2017 14:20,40,59,37.72,20.83,62.6,9.17
nabire,id,12/9/2017,12/9/2017 14:49,92,97,-3.37,135.48,69.41,1.83
touros,br,12/9/2017,12/9/2017 14:49,80,71,-5.2,-35.46,84.44,11.34
trollhattan,se,12/9/2017,12/9/2017 14:20,48,69,58.28,12.29,39.2,8.05
shanghai,cn,12/9/2017,12/9/2017 14:00,0,65,31.22,121.46,41,6.71
severo-yeniseyskiy,ru,12/9/2017,12/9/2017 14:49,76,79,60.37,93.04,15.5,2.73
noumea,nc,12/9/2017,12/9/2017 14:30,32,78,-22.28,166.46,75.2,2.24
ilo,pe,12/9/2017,12/9/2017 14:47,8,76,-17.64,-71.34,68.83,3.62
padang,id,12/9/2017,12/9/2017 14:49,56,100,-0.95,100.35,78.14,6.42
jawhar,so,12/9/2017,12/9/2017 14:49,32,34,2.78,45.5,87.77,10.67
huanren,cn,12/9/2017,12/9/2017 14:49,48,62,41.26,125.37,24.46,4.63
coihaique,cl,12/9/2017,12/9/2017 14:00,90,62,-45.58,-72.07,55.4,6.93
egvekinot,ru,12/9/2017,12/9/2017 14:49,12,71,66.32,-179.17,10.55,4.18
villanueva,co,12/9/2017,12/9/2017 14:49,12,53,5.28,-71.97,89.93,15.48
chimbote,pe,12/9/2017,12/9/2017 14:49,56,85,-9.09,-78.58,66.85,3.62
obuasi,gh,12/9/2017,12/9/2017 14:49,8,97,6.21,-1.66,80.48,4.41
richards bay,za,12/9/2017,12/9/2017 14:49,0,63,-28.78,32.04,81.47,10.67
xam nua,la,12/9/2017,12/9/2017 14:49,92,98,20.42,104.04,57.44,2.39
brae,gb,12/9/2017,12/9/2017 14:20,80,74,60.4,-1.35,35.6,12.75
bujaru,br,12/9/2017,12/9/2017 14:00,75,66,-1.51,-48.04,87.8,9.17
george town,ky,12/9/2017,12/9/2017 14:00,90,100,19.29,-81.37,75.2,14.99
bulungu,cd,12/9/2017,12/9/2017 14:49,68,80,-4.55,18.6,79.81,6.98
marsa matruh,eg,12/9/2017,12/9/2017 14:00,40,55,31.35,27.25,64.4,8.05
mazagao,br,12/9/2017,12/9/2017 14:00,40,50,-0.12,-51.29,95,13.87
michigan city,us,12/9/2017,12/9/2017 14:15,90,86,41.71,-86.9,32,10.29
bilma,ne,12/9/2017,12/9/2017 14:49,92,37,18.69,12.92,69.23,5.41
abong mbang,cm,12/9/2017,12/9/2017 14:49,68,50,3.98,13.18,84.71,2.73
ngunguru,nz,12/9/2017,12/9/2017 14:49,92,100,-35.62,174.5,65.23,9.78
aripuana,br,12/9/2017,12/9/2017 14:49,64,77,-9.17,-60.63,87.01,3.51
kamenka,ru,12/9/2017,12/9/2017 14:49,80,92,51.32,42.77,26.08,9.1
mogocha,ru,12/9/2017,12/9/2017 14:49,44,24,53.73,119.77,-17.85,8.43
vila nova de milfontes,pt,12/9/2017,12/9/2017 14:49,56,96,37.72,-8.78,62.84,14.47
nyurba,ru,12/9/2017,12/9/2017 14:49,24,47,63.28,118.33,-29.01,4.63
balgazyn,ru,12/9/2017,12/9/2017 14:49,0,51,51,95.2,-12.04,2.28
san martin,ar,12/9/2017,12/9/2017 14:00,0,29,-33.08,-68.47,77,11.41
meulaboh,id,12/9/2017,12/9/2017 14:49,80,100,4.14,96.13,78.68,2.62
ghauspur,pk,12/9/2017,12/9/2017 14:00,40,63,28.14,69.08,64.4,2.39
akron,us,12/9/2017,12/9/2017 14:15,90,73,41.08,-81.52,24.8,4.7
kisangani,cd,12/9/2017,12/9/2017 14:49,32,86,0.52,25.2,79.22,2.73
kirakira,sb,12/9/2017,12/9/2017 14:49,92,100,-10.45,161.92,84.85,3.85
caraguatay,py,12/9/2017,12/9/2017 14:49,8,61,-25.23,-56.82,92.99,3.62
fare,pf,12/9/2017,12/9/2017 14:49,80,100,-16.7,-151.02,78.55,13.35
totolapan,mx,12/9/2017,12/9/2017 13:50,5,51,18.97,-98.92,59,2.73
nanortalik,gl,12/9/2017,12/9/2017 14:49,92,90,60.14,-45.24,34.22,8.99
barreirinhas,br,12/9/2017,12/9/2017 14:49,8,49,-2.75,-42.83,91.73,14.47
ishim,ru,12/9/2017,12/9/2017 14:49,92,84,56.11,69.49,18.38,12.8
belyy yar,ru,12/9/2017,12/9/2017 14:00,75,84,53.6,91.39,6.8,3.06
sao gabriel da cachoeira,br,12/9/2017,12/9/2017 14:00,40,88,-0.13,-67.09,80.6,4.7
mayumba,ga,12/9/2017,12/9/2017 14:49,80,95,-3.43,10.66,78.91,9.33
nisia floresta,br,12/9/2017,12/9/2017 14:00,40,62,-6.09,-35.21,86,13.87
alice springs,au,12/9/2017,12/9/2017 14:00,0,27,-23.7,133.88,68,3.36
wanning,cn,12/9/2017,12/9/2017 14:49,0,100,18.8,110.4,68.56,10.78
sur,om,12/9/2017,12/9/2017 14:49,36,100,22.57,59.53,70.18,17.49
torbay,ca,12/9/2017,12/9/2017 14:27,90,93,47.67,-52.73,37.4,11.41
kodinsk,ru,12/9/2017,12/9/2017 14:49,44,60,58.69,99.18,-2.28,3.96
flic en flac,mu,12/9/2017,12/9/2017 14:00,40,69,-20.27,57.36,80.6,11.41
mwinilunga,zm,12/9/2017,12/9/2017 14:49,92,73,-11.74,24.43,74.36,2.62
talaja,in,12/9/2017,12/9/2017 14:00,0,65,21.35,72.05,80.6,2.28
taltal,cl,12/9/2017,12/9/2017 14:49,0,58,-25.4,-70.48,71.26,3.62
wuwei,cn,12/9/2017,12/9/2017 14:49,0,56,37.93,102.64,1.33,2.62
jinchang,cn,12/9/2017,12/9/2017 14:49,0,58,38.5,102.17,6.01,3.06
nouadhibou,mr,12/9/2017,12/9/2017 14:00,12,38,20.93,-17.03,73.4,10.29
severnyy,ru,12/9/2017,12/9/2017 14:00,90,100,50.68,36.55,33.8,6.71
saint-augustin,ca,12/9/2017,12/9/2017 14:49,0,100,51.23,-58.65,25.49,12.24
lichtenburg,za,12/9/2017,12/9/2017 14:49,88,57,-26.15,26.16,76.07,11.9
mazatlan,mx,12/9/2017,12/9/2017 13:44,40,87,23.22,-106.42,46.4,4.7
ossora,ru,12/9/2017,12/9/2017 14:49,88,89,59.24,163.07,20.68,18.72
casablanca,ma,12/9/2017,12/9/2017 14:30,0,52,33.59,-7.62,68,8.05
nieves,mx,12/9/2017,12/9/2017 14:49,0,57,24,-103.02,21.26,4.41
sangar,ru,12/9/2017,12/9/2017 14:49,0,0,63.92,127.47,-38.01,4.74
tucumcari,us,12/9/2017,12/9/2017 13:53,1,53,35.17,-103.72,26.6,9.17
iqaluit,ca,12/9/2017,12/9/2017 14:00,90,78,63.75,-68.51,17.6,5.82
shasta lake,us,12/9/2017,12/9/2017 13:54,1,86,40.68,-122.37,35.6,2.39
batemans bay,au,12/9/2017,12/9/2017 14:49,0,100,-35.72,150.18,58.43,2.51
mercedes,ar,12/9/2017,12/9/2017 14:49,0,38,-34.65,-59.43,90.43,8.43
zheleznodorozhnyy,ru,12/9/2017,12/9/2017 14:00,90,94,55.75,38,33.8,6.71
micheweni,tz,12/9/2017,12/9/2017 14:49,44,100,-4.97,39.83,83.18,19.06
linhares,br,12/9/2017,12/9/2017 14:49,36,95,-19.39,-40.07,84.76,4.97
northam,au,12/9/2017,12/9/2017 14:00,24,56,-31.67,116.67,73.4,1.12
la asuncion,ve,12/9/2017,12/9/2017 14:49,36,100,11.03,-63.86,78.95,14.47
harper,lr,12/9/2017,12/9/2017 14:49,56,100,4.38,-7.72,76.52,14.25
bonavista,ca,12/9/2017,12/9/2017 14:49,88,98,48.65,-53.11,35.53,11.45
isangel,vu,12/9/2017,12/9/2017 14:49,80,100,-19.55,169.27,77.51,11.12
pula,hr,12/9/2017,12/9/2017 14:30,20,56,44.87,13.85,42.8,10.29
shumskiy,ru,12/9/2017,12/9/2017 14:49,76,82,54.83,99.13,13.25,2.62
pesaro,it,12/9/2017,12/9/2017 14:15,40,100,43.9,12.89,44.6,4.7
carballo,es,12/9/2017,12/9/2017 14:30,75,82,43.21,-8.69,60.8,12.75
burriana,es,12/9/2017,12/9/2017 14:30,20,44,39.89,-0.09,60.8,4.7
meteti,pa,12/9/2017,12/9/2017 14:49,80,100,8.5,-77.98,76.93,3.62
pakokku,mm,12/9/2017,12/9/2017 14:49,92,100,21.33,95.1,69.5,6.87
aktau,kz,12/9/2017,12/9/2017 14:00,20,92,43.65,51.2,24.8,6.71
springdale,ca,12/9/2017,12/9/2017 14:49,56,93,49.5,-56.06,33.68,13.8
koumac,nc,12/9/2017,12/9/2017 14:49,12,95,-20.57,164.28,73.15,5.97
hanmer springs,nz,12/9/2017,12/9/2017 14:49,56,66,-42.52,172.82,62.21,10.67
tahoua,ne,12/9/2017,12/9/2017 14:00,0,18,14.89,5.27,84.2,6.93
ahipara,nz,12/9/2017,12/9/2017 14:49,64,100,-35.17,173.17,61.13,4.63
muros,es,12/9/2017,12/9/2017 14:30,90,100,42.78,-9.06,55.4,10.29
zyryanskoye,ru,12/9/2017,12/9/2017 14:49,0,77,56.83,86.63,14.83,11.68
kushalgarh,in,12/9/2017,12/9/2017 14:49,32,64,23.2,74.45,70.67,4.52
peniche,pt,12/9/2017,12/9/2017 14:30,40,82,39.36,-9.38,62.6,8.05
stephenville,us,12/9/2017,12/9/2017 14:15,1,55,32.22,-98.2,42.8,14.47
staryy urukh,ru,12/9/2017,12/9/2017 14:00,0,75,43.34,44.02,41,2.24
faribault,us,12/9/2017,12/9/2017 14:19,90,73,44.3,-93.27,21.2,6.93
lavrentiya,ru,12/9/2017,12/9/2017 14:49,0,100,65.58,-171,23.33,24.09
erzin,ru,12/9/2017,12/9/2017 14:49,0,53,50.26,95.16,-13.57,2.95
dire,ml,12/9/2017,12/9/2017 14:49,0,22,12.28,-10.97,92.27,8.32
